number,bengali_number,word,review_status,reviewer
0,০,শূন্য,pending-independent-review,
1,১,এক,pending-independent-review,
2,২,দুই,pending-independent-review,
3,৩,তিন,pending-independent-review,
4,৪,চার,pending-independent-review,
5,৫,পাঁচ,pending-independent-review,
6,৬,ছয়,pending-independent-review,
7,৭,সাত,pending-independent-review,
8,৮,আট,pending-independent-review,
9,৯,নয়,pending-independent-review,
10,১০,দশ,pending-independent-review,
11,১১,এগারো,pending-independent-review,
12,১২,বারো,pending-independent-review,
13,১৩,তেরো,pending-independent-review,
14,১৪,চৌদ্দ,pending-independent-review,
15,১৫,পনেরো,pending-independent-review,
16,১৬,ষোলো,pending-independent-review,
17,১৭,সতেরো,pending-independent-review,
18,১৮,আঠারো,pending-independent-review,
19,১৯,উনিশ,pending-independent-review,
20,২০,বিশ,pending-independent-review,
21,২১,একুশ,pending-independent-review,
22,২২,বাইশ,pending-independent-review,
23,২৩,তেইশ,pending-independent-review,
24,২৪,চব্বিশ,pending-independent-review,
25,২৫,পঁচিশ,pending-independent-review,
26,২৬,ছাব্বিশ,pending-independent-review,
27,২৭,সাতাশ,pending-independent-review,
28,২৮,আটাশ,pending-independent-review,
29,২৯,ঊনত্রিশ,pending-independent-review,
30,৩০,ত্রিশ,pending-independent-review,
31,৩১,একত্রিশ,pending-independent-review,
32,৩২,বত্রিশ,pending-independent-review,
33,৩৩,তেত্রিশ,pending-independent-review,
34,৩৪,চৌত্রিশ,pending-independent-review,
35,৩৫,পঁয়ত্রিশ,pending-independent-review,
36,৩৬,ছত্রিশ,pending-independent-review,
37,৩৭,সাঁইত্রিশ,pending-independent-review,
38,৩৮,আটত্রিশ,pending-independent-review,
39,৩৯,ঊনচল্লিশ,pending-independent-review,
40,৪০,চল্লিশ,pending-independent-review,
41,৪১,একচল্লিশ,pending-independent-review,
42,৪২,বিয়াল্লিশ,pending-independent-review,
43,৪৩,তেতাল্লিশ,pending-independent-review,
44,৪৪,চুয়াল্লিশ,pending-independent-review,
45,৪৫,পঁয়তাল্লিশ,pending-independent-review,
46,৪৬,ছেচল্লিশ,pending-independent-review,
47,৪৭,সাতচল্লিশ,pending-independent-review,
48,৪৮,আটচল্লিশ,pending-independent-review,
49,৪৯,ঊনপঞ্চাশ,pending-independent-review,
50,৫০,পঞ্চাশ,pending-independent-review,
51,৫১,একান্ন,pending-independent-review,
52,৫২,বাহান্ন,pending-independent-review,
53,৫৩,তিপ্পান্ন,pending-independent-review,
54,৫৪,চুয়ান্ন,pending-independent-review,
55,৫৫,পঞ্চান্ন,pending-independent-review,
56,৫৬,ছাপ্পান্ন,pending-independent-review,
57,৫৭,সাতান্ন,pending-independent-review,
58,৫৮,আটান্ন,pending-independent-review,
59,৫৯,ঊনষাট,pending-independent-review,
60,৬০,ষাট,pending-independent-review,
61,৬১,একষট্টি,pending-independent-review,
62,৬২,বাষট্টি,pending-independent-review,
63,৬৩,তেষট্টি,pending-independent-review,
64,৬৪,চৌষট্টি,pending-independent-review,
65,৬৫,পঁয়ষট্টি,pending-independent-review,
66,৬৬,ছেষট্টি,pending-independent-review,
67,৬৭,সাতষট্টি,pending-independent-review,
68,৬৮,আটষট্টি,pending-independent-review,
69,৬৯,ঊনসত্তর,pending-independent-review,
70,৭০,সত্তর,pending-independent-review,
71,৭১,একাত্তর,pending-independent-review,
72,৭২,বাহাত্তর,pending-independent-review,
73,৭৩,তিয়াত্তর,pending-independent-review,
74,৭৪,চুয়াত্তর,pending-independent-review,
75,৭৫,পঁচাত্তর,pending-independent-review,
76,৭৬,ছিয়াত্তর,pending-independent-review,
77,৭৭,সাতাত্তর,pending-independent-review,
78,৭৮,আটাত্তর,pending-independent-review,
79,৭৯,ঊনআশি,pending-independent-review,
80,৮০,আশি,pending-independent-review,
81,৮১,একাশি,pending-independent-review,
82,৮২,বিরাশি,pending-independent-review,
83,৮৩,তিরাশি,pending-independent-review,
84,৮৪,চুরাশি,pending-independent-review,
85,৮৫,পঁচাশি,pending-independent-review,
86,৮৬,ছিয়াশি,pending-independent-review,
87,৮৭,সাতাশি,pending-independent-review,
88,৮৮,আটাশি,pending-independent-review,
89,৮৯,ঊননব্বই,pending-independent-review,
90,৯০,নব্বই,pending-independent-review,
91,৯১,একানব্বই,pending-independent-review,
92,৯২,বিরানব্বই,pending-independent-review,
93,৯৩,তিরানব্বই,pending-independent-review,
94,৯৪,চুরানব্বই,pending-independent-review,
95,৯৫,পঁচানব্বই,pending-independent-review,
96,৯৬,ছিয়ানব্বই,pending-independent-review,
97,৯৭,সাতানব্বই,pending-independent-review,
98,৯৮,আটানব্বই,pending-independent-review,
99,৯৯,নিরানব্বই,pending-independent-review,
